cve,snyk link,scantist link,Completed,Unsure flag,Comment
CVE-2021-40690,https://security.snyk.io/search?type=any&q=CVE-2021-40690,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-40690,TRUE,FALSE,
CVE-2021-39154,https://security.snyk.io/search?type=any&q=CVE-2021-39154,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-39154,TRUE,FALSE,Not sure about xstream sles package
CVE-2021-39153,https://security.snyk.io/search?type=any&q=CVE-2021-39153,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-39153,TRUE,FALSE,
CVE-2021-39152,https://security.snyk.io/search?type=any&q=CVE-2021-39152,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-39152,TRUE,FALSE,
CVE-2021-39151,https://security.snyk.io/search?type=any&q=CVE-2021-39151,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-39151,TRUE,FALSE,
CVE-2021-39150,https://security.snyk.io/search?type=any&q=CVE-2021-39150,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-39150,TRUE,FALSE,
CVE-2021-39149,https://security.snyk.io/search?type=any&q=CVE-2021-39149,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-39149,TRUE,FALSE,
CVE-2021-39148,https://security.snyk.io/search?type=any&q=CVE-2021-39148,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-39148,TRUE,FALSE,
CVE-2021-39147,https://security.snyk.io/search?type=any&q=CVE-2021-39147,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-39147,TRUE,FALSE,
CVE-2021-39146,https://security.snyk.io/search?type=any&q=CVE-2021-39146,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-39146,TRUE,FALSE,
CVE-2021-39145,https://security.snyk.io/search?type=any&q=CVE-2021-39145,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-39145,TRUE,FALSE,
CVE-2021-39144,https://security.snyk.io/search?type=any&q=CVE-2021-39144,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-39144,TRUE,FALSE,
CVE-2021-39141,https://security.snyk.io/search?type=any&q=CVE-2021-39141,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-39141,TRUE,FALSE,
CVE-2021-39140,https://security.snyk.io/search?type=any&q=CVE-2021-39140,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-39140,TRUE,FALSE,
CVE-2021-39139,https://security.snyk.io/search?type=any&q=CVE-2021-39139,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-39139,TRUE,FALSE,
CVE-2021-37136,https://security.snyk.io/search?type=any&q=CVE-2021-37136,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-37136,TRUE,FALSE,
CVE-2021-36090,https://security.snyk.io/search?type=any&q=CVE-2021-36090,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-36090,TRUE,FALSE,
CVE-2021-35517,https://security.snyk.io/search?type=any&q=CVE-2021-35517,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-35517,TRUE,FALSE,
CVE-2021-35516,https://security.snyk.io/search?type=any&q=CVE-2021-35516,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-35516,TRUE,FALSE,
CVE-2021-35515,https://security.snyk.io/search?type=any&q=CVE-2021-35515,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-35515,TRUE,FALSE,
CVE-2021-34429,https://security.snyk.io/search?type=any&q=CVE-2021-34429,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-34429,TRUE,FALSE,
CVE-2021-34428,https://security.snyk.io/search?type=any&q=CVE-2021-34428,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-34428,TRUE,FALSE,
CVE-2021-31812,https://security.snyk.io/search?type=any&q=CVE-2021-31812,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-31812,TRUE,FALSE,
CVE-2021-31811,https://security.snyk.io/search?type=any&q=CVE-2021-31811,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-31811,TRUE,FALSE,
CVE-2021-31684,https://security.snyk.io/search?type=any&q=CVE-2021-31684,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-31684,TRUE,FALSE,
CVE-2021-30179,https://security.snyk.io/search?type=any&q=CVE-2021-30179,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-30179,TRUE,FALSE,
CVE-2021-29505,https://security.snyk.io/search?type=any&q=CVE-2021-29505,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-29505,TRUE,FALSE,
CVE-2021-29425,https://security.snyk.io/search?type=any&q=CVE-2021-29425,https://vuldb.scantist.io/cve/libraries/?public_id=CVE-2021-29425,TRUE,FALSE,
