report_type,project_name,tool,cmpt_tp,cmpt_fn,cmpt_fp,cve_tp,cve_fn,cve_fp
source_report,SCAEvaluation-SAAS-Test@seata,owasp,410,1,65,152,69,174
source_report,SCAEvaluation-SAAS-Test@seata,scantist,290,121,6,208,13,5
source_report,SCAEvaluation-SAAS-Test@seata,steady,289,122,0,30,191,131
source_report,SCAEvaluation-SAAS-Test@seata,whitesource,286,125,0,185,36,54
source_report,SCAEvaluation-SAAS-Test@seata,ossindex,265,146,63,114,107,47
source_report,SCAEvaluation-SAAS-Test@netty,owasp,56,0,28,2,1,28
source_report,SCAEvaluation-SAAS-Test@netty,scantist,55,1,0,2,1,0
source_report,SCAEvaluation-SAAS-Test@netty,steady,55,1,0,0,3,2
source_report,SCAEvaluation-SAAS-Test@netty,whitesource,55,1,0,2,1,0
source_report,SCAEvaluation-SAAS-Test@netty,ossindex,34,22,29,0,3,0
source_report,SCAEvaluation-SAAS-Test@libgdx,owasp,22,0,5,0,0,0
source_report,SCAEvaluation-SAAS-Test@libgdx,scantist,22,0,0,0,0,0
source_report,SCAEvaluation-SAAS-Test@libgdx,steady,22,0,0,0,0,1
source_report,SCAEvaluation-SAAS-Test@libgdx,whitesource,22,0,3,0,0,0
source_report,SCAEvaluation-SAAS-Test@libgdx,ossindex,22,0,5,0,0,0
source_report,SCAEvaluation-SAAS-Test@zxing,owasp,10,0,2,0,0,0
source_report,SCAEvaluation-SAAS-Test@zxing,scantist,10,0,0,0,0,0
source_report,SCAEvaluation-SAAS-Test@zxing,steady,10,0,0,0,0,0
source_report,SCAEvaluation-SAAS-Test@zxing,whitesource,10,0,0,0,0,0
source_report,SCAEvaluation-SAAS-Test@zxing,ossindex,10,0,2,0,0,0
source_report,SCAEvaluation-SAAS-Test@hutool,owasp,208,0,0,18,4,61
source_report,SCAEvaluation-SAAS-Test@hutool,scantist,204,4,0,20,2,11
source_report,SCAEvaluation-SAAS-Test@hutool,steady,188,20,0,6,16,10
source_report,SCAEvaluation-SAAS-Test@hutool,whitesource,207,1,0,18,4,6
source_report,SCAEvaluation-SAAS-Test@hutool,ossindex,207,1,0,12,10,2
source_report,SCAEvaluation-SAAS-Test@spring-boot-demo,owasp,566,48,4,160,124,238
source_report,SCAEvaluation-SAAS-Test@spring-boot-demo,scantist,482,132,3,211,73,6
source_report,SCAEvaluation-SAAS-Test@spring-boot-demo,steady,482,132,0,61,223,98
source_report,SCAEvaluation-SAAS-Test@spring-boot-demo,whitesource,482,132,0,179,105,56
source_report,SCAEvaluation-SAAS-Test@spring-boot-demo,ossindex,481,133,4,149,135,83
source_report,SCAEvaluation-SAAS-Test@druid,owasp,0,0,0,0,0,0
source_report,SCAEvaluation-SAAS-Test@druid,scantist,0,0,0,0,0,0
source_report,SCAEvaluation-SAAS-Test@druid,steady,0,0,0,0,0,0
source_report,SCAEvaluation-SAAS-Test@druid,whitesource,0,0,0,0,0,0
source_report,SCAEvaluation-SAAS-Test@druid,ossindex,0,0,0,0,0,0
source_report,SCAEvaluation-SAAS-Test@spring-boot-examples,owasp,421,2,0,283,111,268
source_report,SCAEvaluation-SAAS-Test@spring-boot-examples,scantist,415,8,2,390,4,8
